time,PWM0,PWM1,PWM2,PWM3,ActivationTime
1.145000,38123,38273,38112,38282,0.019669
1.150000,38268,38391,37892,38178,0.019683
1.155000,38353,38326,37828,38304,0.019581
1.160000,38058,38351,38102,38239,0.020172
1.165000,38203,38288,37939,38312,0.020141
1.170000,38409,38426,37693,38029,0.019509
1.175000,38203,38353,37901,38068,0.019761
1.180000,38062,38227,38086,38292,0.019843
1.185000,38290,38267,37853,38239,0.020285
1.190000,38149,38246,38029,38279,0.019460
1.195000,38180,38376,37821,38078,0.019577
1.200000,38146,38349,37954,38212,0.019810
1.205000,38123,38246,37918,38370,0.019774
1.210000,38169,38214,37996,38271,0.019548
1.215000,38311,38224,37811,38205,0.019345
1.220000,38136,38233,38067,38076,0.019526
1.225000,38027,38352,37973,38079,0.019442
1.230000,38092,38136,37976,38528,0.019425
1.235000,38181,38164,37982,38288,0.020053
1.240000,38340,38407,37711,38052,0.020066
1.245000,38161,38360,37890,38092,0.019981
1.250000,38076,38123,38021,38456,0.020413
1.255000,38194,38223,37908,38242,0.020077
1.260000,38096,38261,37948,38190,0.020483
1.265000,38075,38188,38029,38276,0.020304
1.270000,38147,38249,37892,38216,0.020229
1.275000,38153,38231,37928,38080,0.019895
1.280000,37943,38159,38121,38255,0.020185
1.285000,38110,38148,37984,38337,0.020323
1.290000,38097,38198,37964,38358,0.020647
1.295000,38027,38242,38009,38216,0.021035
1.300000,38193,38402,37768,37963,0.020911
1.305000,37989,37976,38173,38321,0.020895
1.310000,38039,38207,37919,38334,0.020762
1.315000,38075,38189,38052,38211,0.021769
1.320000,38106,38117,37981,38241,0.020859
1.325000,37890,38279,38108,38131,0.021379
1.330000,38071,38310,37917,38180,0.021445
1.335000,38176,38169,37863,38260,0.021247
1.340000,38034,38195,37989,38252,0.023950
1.345000,38051,38134,37960,38250,0.020945
1.350000,37973,38202,38074,38259,0.020803
1.355000,38017,38272,37948,38033,0.021504
1.360000,37916,38046,38111,38337,0.021395
1.365000,37843,38159,38156,38113,0.020960
1.370000,37935,38012,38103,38463,0.021222
1.375000,38031,38405,37853,37902,0.020899
1.380000,37957,37993,38154,38300,0.021043
1.385000,38048,38276,37877,38135,0.021708
1.390000,37912,38038,38136,38400,0.020963
1.395000,38053,38332,37846,38006,0.021332
1.400000,37904,38207,38042,38067,0.020870
1.405000,37790,38167,38105,38163,0.020965
1.410000,37717,37938,38347,38407,0.020886
1.415000,38013,38393,37834,38002,0.021008
1.420000,37858,38121,38119,38384,0.021288
1.425000,38033,38435,37811,37768,0.021065
1.430000,37914,38170,37962,38160,0.020982
1.435000,37837,37983,38209,38387,0.020994
1.440000,38038,38400,37803,37887,0.021070
1.445000,37782,38114,38145,38256,0.020955
1.450000,38150,38294,37697,37879,0.020921
1.455000,37697,37924,38349,38456,0.021125
1.460000,37903,38250,37968,38208,0.021190
1.465000,38135,38326,37763,37952,0.021324
1.470000,37823,38208,38141,38141,0.022299
1.475000,37777,38220,38167,38050,0.022326
1.480000,37790,38152,38092,38389,0.022832
1.485000,37936,38402,37873,37951,0.022362
1.490000,37893,38191,38029,38090,0.023171
1.495000,37921,38102,38075,38218,0.022577
1.500000,37899,38449,37921,37907,0.022203
1.505000,37981,38201,37965,37981,0.022851
1.510000,37736,38152,38129,38095,0.022476
1.515000,37749,38127,38099,38190,0.022491
1.520000,38003,38198,37843,38126,0.023184
1.525000,37773,38195,38093,38163,0.022822
1.530000,37846,38325,38011,37988,0.023205
1.535000,37681,38107,38242,38272,0.023039
1.540000,38125,38591,37625,37756,0.022994
1.545000,37909,38127,38045,38138,0.023096
1.550000,37896,38400,37867,37884,0.023162
1.555000,37820,38235,38039,38069,0.022968
1.560000,37907,38244,37894,38041,0.025223
1.565000,37638,38416,38034,37928,0.025528
1.570000,37963,38231,37860,38019,0.023198
1.575000,37721,38111,38240,38023,0.022701
1.580000,37772,38300,38026,37951,0.023304
1.585000,37854,38110,38041,38139,0.023179
1.590000,37937,38578,37719,37847,0.022768
1.595000,37727,38214,38096,38142,0.023516
1.600000,37953,38500,37761,37818,0.023701
1.605000,37738,38361,38100,38005,0.022260
1.610000,37867,38468,37817,37768,0.022031
1.615000,37641,38086,38306,38115,0.022477
1.620000,37991,38361,37897,37896,0.022180
1.625000,37794,38400,37972,37775,0.022402
1.630000,37731,38271,38055,37990,0.022266
1.635000,37868,38370,37877,37985,0.022108
1.640000,37738,38284,38073,38074,0.022012
1.645000,37770,38358,37922,38109,0.022201
